Entry Number,Completeness,Clarity,Reference,Relevance,Accuracy
1,1.0,1.0,0.5,1.0,0.5
2,0.5,1.0,-1.0,1.0,0.5
3,1.0,1.0,1.0,-1.0,0.5
4,1.0,1.0,0.5,1.0,1.0
5,0.5,0.5,-1.0,0.5,-1.0
6,1.0,1.0,-1.0,1.0,1.0
7,1.0,1.0,-1.0,0.5,0.5
8,-1.0,-1.0,-1.0,-1.0,-1.0
9,1.0,1.0,-1.0,0.5,-1.0
10,1.0,1.0,0.5,1.0,0.5
11,-1.0,-1.0,-1.0,-1.0,-1.0
12,0.5,0.5,-1.0,1.0,0.5
13,0.5,1.0,1.0,1.0,1.0
14,0.5,0.5,-1.0,0.5,-1.0
15,-1.0,-1.0,-1.0,-1.0,-1.0
16,0.5,1.0,-1.0,0.5,1.0
17,-1.0,-1.0,-1.0,-1.0,-1.0
18,-1.0,-1.0,-1.0,-1.0,-1.0
19,1.0,1.0,-1.0,1.0,1.0
20,1.0,0.5,-1.0,0.5,0.5
21,-1.0,0.5,-1.0,0.5,0.5
22,0.5,0.5,-1.0,0.5,0.5
23,-1.0,-1.0,-1.0,-1.0,-1.0
24,-1.0,-1.0,-1.0,-1.0,-1.0
25,1.0,1.0,-1.0,0.5,1.0
26,0.5,1.0,0.5,1.0,0.5
27,1.0,1.0,0.5,1.0,1.0
28,1.0,1.0,1.0,-1.0,1.0
29,1.0,1.0,-1.0,1.0,0.5
30,-1.0,-1.0,-1.0,-1.0,-1.0
31,1.0,0.5,-1.0,1.0,1.0
32,0.5,1.0,-1.0,1.0,1.0
